file_id,original_name,sha256,size_bytes,mime,status,source,license_guess,repo_url,commit_sha,tags,notes
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/406.html,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/406.html,d4c2c5c9684efd83c3ea28699cb89dcfd076d97bdcf6a1751be0459aeb87be91,491,text/html,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,other,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/ontology.xml,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/ontology.xml,c3f8b14c2ad7faf87f4bf44757c880d0554876ee1783e5fba425ad7e2e9b1477,270212,application/xml,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,other,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/ontology.ttl,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/ontology.ttl,c85e00efa687d90db129690adc691cff0e4c27429a78ee43932833a44045be9e,237425,text/turtle,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,ontology,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/sections/crossref-en.html,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/sections/crossref-en.html,bfae9722dc39fa33c487c6659bc35f3bb4f3189e246412d91e03fc72a09e4d9b,539394,text/html,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,other,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/sections/description-en.html,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/sections/description-en.html,03d4402b0c87deb1b7f731d711ff58a5af1e8ac3890fe8931bd9e5d4b9ba8ccb,363,text/html,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,other,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/sections/overview-en.html,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/sections/overview-en.html,f20da7eb4b29f9aa6a50422f91b07614f41d1bd7d0845dcfd7f3ca0a0b2d01be,49123,text/html,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,other,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/sections/introduction-en.html,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/sections/introduction-en.html,b8f3b4d11531e0c792134396af63245406419453c4f4dedaf30be813fcc926bd,1863,text/html,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,other,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/sections/references-en.html,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/sections/references-en.html,8806b8d8193aa3edc39ee885eafeaea7f67b78f051686d080d6c632c9c9a0187,219,text/html,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,other,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/sections/abstract-en.html,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/sections/abstract-en.html,4be4f8c8cf029d36b376d86ca6f429fef5ebbdfb5e201af39c7327e1c60de116,201,text/html,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,other,
BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c:Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/resources/primer.css,Ocean-Data-Ontology-d2c097c8f068d86cab059093c7f25d5e78cd489c/doc/resources/primer.css,0eb0a6ff6997a93d5046535f19eef2a5235f68f0a8516d6af1ada4ac686998ce,2593,text/css,ingested,BCODMO_Ocean-Data-Ontology@d2c097c8f068d86cab059093c7f25d5e78cd489c,CC (unknown variant),https://github.com/BCODMO/Ocean-Data-Ontology,d2c097c8f068d86cab059093c7f25d5e78cd489c,other,
